L ,  N = 30,  N = 50,  N = 100,  N = 200,  N = 500,  N = 800,  N = 1000,  N = 5000,  N = 10000,  N = 100000
1a,    2.00,    2.00,     2.00,     2.00,     2.00,     2.00,      2.00,      2.00,       2.00,        2.00
1b,   50.80,   52.80,    95.80,   230.80,   522.40,   684.04,   1044.44,   5120.66,   10210.30,   102620.70
2a,    4.00,    4.00,     4.00,     4.00,     4.00,     4.00,      4.00,      4.00,       4.00,        4.00
2b,   83.60,   85.60,   253.20,   496.00,   971.04,  1716.40,   2214.00,  10504.04,   20557.80,   212543.28
3a,    2.00,    2.00,     2.00,     2.00,     2.00,     2.00,      2.00,      2.00,       2.00,        2.00
3b,   39.20,   58.20,    77.30,   102.80,   302.72,   427.86,    578.16,   2684.86,    5150.67,    51909.88
