Lists,   N = 30,   N = 50,   N = 100,   N = 200,   N = 500,   N = 800,   N = 1000,   N = 5000,   N = 10000,   N = 100000
   1a,    94.70,   164.70,    412.30,    724.70,   1550.80,   2780.24,    3229.16,   15175.14,    32454.73,    310826.34
   1b,   131.00,   209.30,    389.50,    654.20,   1692.08,   2509.14,    3236.96,   16863.00,    33977.51,    313294.25
   2a,   147.40,   347.60,    422.00,   1143.40,   2650.12,   3070.76,    5147.76,   23787.42,    47185.54,    457313.92
   2b,   158.40,   307.00,    633.00,    797.20,   2761.88,   3550.52,    4896.08,   23848.10,    50534.70,    496549.74
   3a,    51.20,   105.00,    181.00,    307.00,    871.12,   1205.68,    1740.00,    7946.66,    15853.96,    150154.90
   3b,    29.40,    31.10,     38.80,     38.20,     47.82,     52.46,      53.54,      64.93,       69.97,        86.88
