Lists,   N = 30,   N = 50,   N = 100,   N = 200,   N = 500,   N = 800,   N = 1000,   N = 5000,   N = 10000,   N = 100000
   1a,  9240.00,  6670.00,  14810.00,  27170.00,  44182.00,  21808.00,   41742.00,   29196.00,    27094.00,    344353.00
   1b,  8900.00,  7670.00,  13890.00,  34950.00,  11638.00,  21392.00,   30324.00,   23016.00,    47750.00,    329190.00
   2a, 43870.00, 10480.00,  10510.00,  32930.00,  43668.00,  25066.00,   31738.00,   45621.00,    24678.00,    278545.00
   2b,  7410.00,  7690.00,  15430.00,  25050.00,  12688.00,  22190.00,   32914.00,   28813.00,    67505.00,   1387488.00
   3a,  3460.00,  4860.00,   8290.00,  13950.00,  33122.00,  31094.00,   18398.00,   78365.00,    32486.00,    155192.00
   3b,  5870.00,  1730.00,   1950.00,   2150.00,   4208.00,   2474.00,     958.00,    1944.00,     2497.00,      1809.00
