Lists,   N = 30,   N = 50,   N = 100,   N = 200,   N = 500,   N = 800,   N = 1000,   N = 5000,   N = 10000,   N = 100000
   1a,   330.00,   250.00,    220.00,    240.00,    178.00,    136.00,     208.00,     102.00,      129.00,       154.00
   1b,   340.00,   640.00,    480.00,    650.00,   1270.00,   1588.00,    1810.00,    8881.00,    19517.00,    249080.00
   2a,   260.00,   200.00,    190.00,    220.00,    160.00,    108.00,     118.00,     130.00,      144.00,        88.00
   2b,   510.00,   380.00,    510.00,    700.00,   1468.00,   1458.00,    1856.00,   12591.00,    37309.00,    891689.00
   3a,   230.00,   220.00,    240.00,    220.00,    162.00,    116.00,     144.00,     136.00,       55.00,       104.00
   3b,   460.00,   480.00,    520.00,    940.00,   1554.00,   1950.00,    1938.00,   20391.00,    24228.00,    751326.00
