Lists,   N = 30,   N = 50,   N = 100,   N = 200,   N = 500,   N = 800,   N = 1000,   N = 5000,   N = 10000,   N = 100000
   1a,  2280.00,   710.00,   2960.00,   1190.00,   2720.00,   4612.00,    5932.00,   30123.00,    35250.00,    364470.00
   1b,   680.00,   610.00,    770.00,   1180.00,   2188.00,   4130.00,    7890.00,   17829.00,    30102.00,    330741.00
   2a,  2430.00,  5620.00,   3800.00,   1600.00,   2734.00,   4016.00,    5106.00,   18913.00,    35355.00,    316667.00
   2b,  1060.00,   840.00,   1230.00,   2320.00,   2806.00,   4354.00,    4148.00,   21304.00,    63909.00,   1444215.00
   3a,  1590.00,  2940.00,   2450.00,   7320.00,  11900.00,  24650.00,   13978.00,   35562.00,    81806.00,    317358.00
   3b,  1810.00,  2130.00,   1460.00,   4790.00,  13510.00,  14614.00,    6352.00,   33006.00,    71218.00,    255788.00
