Lists,   N = 30,   N = 50,   N = 100,   N = 200,   N = 500,   N = 800,   N = 1000,   N = 5000,   N = 10000,   N = 100000
   1a,   104.50,   177.10,    205.70,    702.20,   1753.14,   2878.82,    3158.34,   17216.76,    30422.93,    311029.08
   1b,   119.20,   222.90,    340.90,    760.90,   1560.04,   2632.10,    3218.44,   16210.44,    29856.55,    312050.47
   2a,   198.20,   234.90,    595.20,    992.00,   2550.80,   4146.00,    4767.44,   22814.41,    48063.38,    445841.61
   2b,   196.90,   326.40,    624.20,    895.60,   2674.72,   4628.94,    4824.90,   24715.96,    48151.59,    506263.79
   3a,    83.20,   119.20,    222.80,    420.20,   1091.84,   1679.24,    2082.76,   10171.20,    20171.08,    200172.90
   3b,    46.50,    58.10,     50.40,    119.60,    299.24,    431.82,     459.46,    2528.69,     4160.79,     43586.42
