L ,  N = 30,  N = 50,  N = 100,  N = 200,  N = 500,  N = 800,  N = 1000,  N = 5000,  N = 10000,  N = 100000
1a,   45.40,   64.40,   127.80,   311.60,   781.12,  1334.48,   1616.24,   7809.30,   14673.78,   159641.44
1b,   37.00,   76.80,   177.60,   356.80,   758.44,  1342.00,   1696.60,   8127.84,   16679.86,   157258.24
2a,   27.00,   52.60,   140.80,    91.00,    51.00,    75.00,    187.24,    211.00,     411.00,     5507.04
2b,   28.00,   31.00,   103.00,    91.00,    51.00,    75.00,    122.96,    211.00,     627.86,     5164.70
3a,   53.60,   99.90,   169.20,   396.80,   912.36,  1444.28,   1776.06,   9094.11,   17774.88,   180464.48
3b,   27.90,   25.40,    44.90,    36.00,    93.92,   107.36,    197.48,    453.12,     810.20,    10405.05
